bairro,latitude,longitude,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
AFLITOS,9110884.0,290992.0,1.84680190079762,3.272570206225221,0.4219753850589725,1.5780267714819889,0.025551470437053858,1.7439688916948626,0.7606245692980556,0.25604263179397546,0.36345332606355396,5.901371903642738,0.06877777105489036,0.0631964015170321
AFOGADOS,9106661.8,289910.65,0.14233673275994296,0.47544813550850873,1.074204438016064,1.0486610825510758,2.4797687181859667,0.892113158432339,1.9948042970641957,0.6798287611795744,0.8237109462060086,1.262195900449662,2.1797463810454922,0.02481395989022539
AGUA FRIA,9113343.0,290787.7,4.621823603487478,4.008862118488754,1.7281657091329163,0.015705711689936175,0.6281960926743366,0.5032548751953745,0.09144775169497721,0.6075462533490802,1.1224425816957813,1.0958960253539234,3.836283715243646,2.5908140831864106
ALTO DO MANDU,9112712.9,287498.0,2.725101952959899,3.3090751308715367,0.08371298735140398,2.2917064234488747,2.570588369220438,0.3755079384266411,1.427666011395452,0.14135580100553247,2.0293378182723028,0.346256200015451,0.7222386113724596,0.4149084119407483
ALTO JOSE BONIFACIO,9113775.0,289181.0,1.7878114977510604,0.403926793085315,0.1711921243785388,0.6767140170584847,0.38117004064380144,1.082688267084538,2.1374960745572005,1.17611755054335,3.839926153070289,3.4214784411959793,0.9127018921159119,2.3291410961819254
ALTO JOSE DO PINHO,9112846.0,289698.0,0.2601104106099079,0.4745456116717006,2.4402678471809236,0.956016185587194,3.6739594864219374,0.6844120757016381,0.38018667759808145,2.0197191267787775,0.162783925423853,0.18682981820783007,0.8729360369198661,1.7857519040371057
ALTO SANTA TEREZINHA,9113502.0,289671.0,4.4648324355305675,0.14820444472144056,2.690851187790593,2.766033285431978,0.17946938006501278,0.8763704627158659,2.8674000217919007,0.07832630886009695,1.8415847780672365,3.0422886275530048,3.1573082873467695,0.8576837413558411
APIPUCOS,9113095.0,286390.0,2.1144452103269717,3.375785268801714,0.6522232018937992,0.4673480178091184,2.5152931929919786,0.10702123714400469,0.9046218094417138,0.3796168517612315,0.7838794953305512,3.1500559600520175,1.644889712743618,0.4705497422703745
AREIAS,9104782.0,287566.7,0.6564482458776282,3.8855559085252844,1.7346686243087677,0.993575601399253,0.48208316249053906,3.0587670456653635,0.13233212935263472,4.962678586554406,2.0393297526599974,0.3543736089159324,1.357250680294971,0.2956688186169028
ARRUDA,9112449.1,291553.7,1.4182310740031587,1.8278877771529527,1.3863764301943051,1.6037724569664302,2.758522434286717,0.011077762269194436,0.7103970590129725,2.738280986888343,2.5308616146682423,1.3327150199206084,1.1258462499439714,0.02291140617495191
BARRO,9104647.9,285112.8,0.9569591777191941,1.8103557174483693,1.1719567761399388,2.1412976486999886,2.4742088432935745,0.4167556377086834,2.2285244584405204,1.5119502356700014,1.917536887320749,0.49168477513472664,1.8242818325239483,1.0337800494920186
BEBERIBE,9114684.0,290898.0,1.3512147743971625,0.8887188796749781,0.3654050372779758,0.4810832539754941,0.3877234747927505,2.271149765170153,2.897481806404914,3.923866049936165,2.4472215357228064,1.1020705972718232,0.19350149900979374,0.3749035418409686
BOA VIAGEM,9101556.0,290274.0,2.037364205796696,1.5043254394160879,0.5664826481515146,2.4525969772863747,2.689393154335792,2.3196060701168353,1.8806618889722584,1.0918052239984606,2.162098134298302,3.8039890084825254,2.748840173465882,0.4179697568001936
