"X","Y"
-34.8975195474238,-8.03335049439898
-34.9430240143452,-7.94640817042829
-34.89155908207,-8.07015230122791
-34.8806555349364,-8.02608123841158
-34.9045913325533,-8.1319253499618
-34.8690852445055,-8.0624750095284
-34.8852198591934,-8.0527286309983
-34.8794011227304,-8.0639257920711
-34.8720916857542,-8.06309126433448
-34.9196713923085,-8.06552112795242
-34.9793445745301,-8.03261507276168
-34.9657527773685,-7.95646683265621
-34.9017840906612,-8.01606156642302
-34.9470741795593,-8.04663865430805
-34.9365142047819,-8.06616960680401
-34.960899438227,-7.95257951620884
-34.9448009188314,-8.1011542928623
-34.9305685973811,-8.0321063176327
-34.9872794769368,-8.03753278027241
-34.9472787632576,-7.97213170600391
-34.9079462203109,-8.09927796639024
-34.9886868304623,-7.96627857582967
-34.8890635530772,-8.07912386064908
-34.9168813479911,-8.00492521051594
-34.9719957618219,-8.04243813729082
-34.9572307973762,-8.0344350303583
-34.9561591889614,-7.96541427591301
-34.8878549306168,-8.03079612591951
-34.9459289774839,-7.99175099923839
-34.9822304604444,-8.06010397517644
-34.8931875033758,-8.09698060351677
-34.9461587247735,-7.9533618287007
-34.9525492428201,-8.11874844715756
-34.8985397389862,-8.06186655516787
-34.9880476187092,-8.05680476969812
-34.9573716674825,-8.05022663904739
-34.8617338936688,-8.04307942912944
-34.9408506123063,-7.96725305794551
-34.9379289484407,-8.13542587998455
-34.8994251462095,-8.01380271851585
-34.885196837654,-8.10407753663266
-34.8977711083107,-8.07011475098064
-34.9595236711131,-8.11243238622176
-34.9243386653945,-7.97249243014891
-34.9772507859999,-7.94051204402767
-34.9122453111098,-7.93897167331456
-34.9429001746362,-8.11179641989224
-34.9347912049474,-7.9470196348337
-34.9087212894338,-8.06100751607629
-34.9471741056289,-7.94217897505168
-34.9039751157696,-8.08983745574477
-34.9741129814967,-7.95400867734442
-34.9485814345706,-8.11173160628855
-34.8923436946207,-8.09186141992836
-34.8961170293389,-8.05078598400861
-34.9358824477321,-8.11842478727717
-34.8955814820811,-8.05015510597792
-34.9183102374593,-8.04744617055098
-34.8646218788382,-8.050280746433
-34.896052873688,-8.0170907158089
-34.8966755002881,-8.01623333468497
-34.9343293233402,-7.98204276941597
-34.9779710820932,-8.05825546022326
-34.9549733879595,-7.96197520967147
-34.9155564556491,-8.11050313612432
-34.9466937067161,-8.00069324480897
-34.9574096105704,-7.99020106024515
-34.9294855993543,-8.05377697640687
-34.9362739169587,-8.09191505838145
-34.9474473864249,-7.96305724495926
-34.8989030652211,-8.02125850985049
-34.8953308310574,-8.10408628149691
-34.9565720531485,-8.06341872245642
-34.9196221543462,-7.97137596660364
-34.9504206799653,-8.12561944633567
-34.9435092226159,-8.12262080976718
-34.981206758831,-7.96002666918941
-34.918421505997,-8.08205497429109
-34.9486510648038,-8.01195744250587
