"X","Y"
-35.0165749223703,-8.056470180882
-34.9220229706486,-7.97056562243278
-34.9162022823959,-7.95569859714463
-34.9278675763632,-8.02693292180023
-34.9102069015479,-8.02220348987137
-34.9616244031082,-7.94976583113483
-34.9376898805516,-8.0195637710906
-34.9346426040571,-8.06567199006124
-34.9397630494107,-8.06284602892948
-34.9871835279356,-8.05904461137213
-35.0028158696657,-7.96067742226516
-34.8643911889318,-8.05326489676422
-34.8970227658371,-8.06490751906386
-34.9293413438399,-8.00084047390289
-34.9624189433961,-8.02671793406144
-34.948913699723,-7.96222970714649
-34.9483541145201,-7.95129692773625
-34.8959369377491,-8.08946281116122
-34.9306804203286,-8.01248828563009
-34.9240713813619,-8.01010369581944
-34.934406515531,-8.04143697829058
-34.9289926414121,-8.11837456935142
-34.908670843567,-8.06600522445573
-34.9348618698366,-7.95417603632994
-34.9182362196905,-8.09199677135205
-34.9743295940236,-7.96619217049679
-34.9171655702692,-7.96480624833915
-34.940026896694,-8.13180811912231
-34.928105287121,-8.13329621731281
-34.9058079217424,-8.09506474972549
-34.9112543359073,-7.99342389957467
-34.9420999187997,-7.93423178766976
-34.8970297887872,-8.10303886015342
-34.9076629090953,-8.04559196010035
-34.9234278307911,-7.93727181892232
-34.9596714823609,-8.00503561452696
-34.8954266851711,-8.12336335101606
-34.9583861934134,-8.09538553388426
-34.9488839113024,-8.10670316148956
-34.9389927092235,-8.05502778712174
-34.9331321361366,-8.0723129788761
-34.9499551643013,-8.12763707649353
-34.9489310506842,-8.00939047508137
-34.9795173933219,-7.95279343287825
-34.8833718922422,-8.10020441124177
-34.9729670187098,-7.96934705947378
-34.9292293425098,-8.11932291976153
-34.9338193637443,-8.02082919266871
-34.9494929790316,-8.09003775184521
-34.9154131247633,-8.07492674614997
-34.9556562263077,-8.05346894485766
-34.9521714411804,-8.0160054882527
-34.9262177029844,-8.02575012516284
-34.9427523337455,-7.93491420975521
-34.8999514594359,-8.10180166787625
-34.9331501706476,-8.01747270362746
-34.9723136388495,-8.05818065448326
-34.9596379137297,-8.08317015230801
-34.9676194519624,-8.02420915172677
-34.8854802713389,-8.07086870501664
-34.9935015514728,-8.03689756862535
-34.8892546323563,-8.07808721510961
-34.9017848679368,-8.10425045386189
-34.8986392444328,-8.11205741518103
-34.878962284773,-8.05871017883133
-34.9233563490148,-8.12789468519545
-34.9694078195496,-8.04236059590685
-34.938172665743,-7.98142196600172
-34.885678978757,-8.06068296436626
-34.9269091389207,-8.06323433740004
-34.9989832367728,-7.94623788606256
-34.9479030629434,-7.98784702345832
-34.9836263358037,-8.03578450397504
-34.9459454823648,-8.07011329942642
-34.8778928985698,-8.06446964845911
-34.9005195044676,-8.01987871567811
-34.9453263716619,-8.0264478967029
-34.8803821423516,-8.03015820756047
-34.9417967921334,-8.0192292239408
-34.9309526658314,-7.99128694231414
-34.9533448866438,-7.98545937021449
-34.9390543444342,-8.09037775920034
-34.9094274343587,-8.02945359651089
-34.9438416266143,-8.05582976131861
-34.8802563504406,-8.08161594480866
-34.8934880174501,-8.01392345960912
-34.9500859308737,-8.05504490169356
-34.8584507357367,-8.04755491377042
-34.9602241749529,-8.01784233674443
-34.9265020400868,-7.95097180042367
-34.9167155225814,-8.11507271278724
-34.9772470472745,-7.96936389394354
-34.8930519199131,-8.11095124209649
-34.9498817499976,-8.09714287830615
-34.9397411974011,-8.12834538801267
-34.9552238156677,-8.1323783922733
-34.9664476734761,-7.96838841615198
-34.9477412572116,-8.04588783552899
-34.9481310823958,-8.09488169010548
-34.9511112900205,-7.99937778651628
-34.994104397062,-7.94894479800917
-34.9235292689899,-8.00578921791589
-34.8846018399966,-8.05271186446275
-34.8809590117721,-8.07363574523785
-34.8818716207945,-8.03600993701126
-34.9651805147142,-8.06422054597256
-34.9306937459906,-7.9556801298562
-34.9497582282666,-8.0836520503005
-34.9670717929806,-7.96606085937355
-34.986254287928,-7.95702973145566
-34.9107495217479,-8.1198547106612
-34.9392661222699,-8.1053493908077
-34.9501469289664,-8.0069773269018
-34.9345142128204,-8.05084110939499
-34.9237245553609,-7.95820951895396
-34.8995701571139,-8.10034352915108
-34.9433472751898,-7.98212737963402
-34.9737968572274,-7.947291655658
-34.9160391599312,-8.13790435503074
-34.9154070596074,-8.12101179081741
-34.9154349246822,-8.12417241360142
-34.8863008349019,-8.04607463222312
-34.971497303552,-8.08065940403728
-34.9246460040995,-7.95982572166651
-34.9538515325594,-8.05026784836432
-34.925509350988,-8.13996252043834
-34.8878549576739,-8.06412239436219
-34.9494853020996,-8.03505187584566
-34.8818583241384,-8.04444539509393
-34.9881363641293,-8.0485178257049
