Months,TempMaximaMedia,TempCompensadaMedia,VelocidadeMaximaMedia,VelocidadeInstantaneaMedia,UmidadadeMaximaMedia,UmidadeInstantaneaMedia
1.0,30.53225806451612,26.395483870967745,8.341935483870968,1.7955645161290326,95.96774193548387,90.98655913978494
2.0,30.12758620689655,26.530344827586216,8.586206896551722,1.9716954022988504,94.86206896551724,87.79166666666666
3.0,30.596774193548395,26.858064516129037,8.167741935483871,1.7369623655913977,93.58064516129032,77.46774193548387
4.0,30.703333333333322,26.333333333333332,7.8133333333333335,1.6306944444444444,94.56666666666666,77.6527777777778
5.0,30.122580645161296,25.80838709677419,8.009677419354839,1.5559139784946234,94.70967741935483,79.48655913978494
6.0,28.716666666666665,24.54866666666667,8.196666666666667,1.389861111111111,95.46666666666667,83.94722222222224
7.0,28.138709677419346,24.19935483870968,8.69032258064516,1.6072580645161287,94.61290322580645,81.60887096774194
8.0,27.496774193548386,23.64064516129032,9.212903225806452,1.7162634408602147,94.80645161290323,82.04838709677419
9.0,28.75666666666667,25.022,8.96,2.0247222222222225,90.56666666666666,74.69583333333334
10.0,29.503225806451617,25.774193548387096,9.000000000000004,2.1750000000000003,89.09677419354838,72.95833333333334
11.0,31.53666666666667,26.945333333333334,8.346666666666666,1.8948611111111109,89.4,70.46666666666667
12.0,31.532258064516128,27.234193548387097,8.383870967741935,1.9927419354838711,89.6774193548387,70.7983870967742
