Months,TempMaximaMedia,TempCompensadaMedia,VelocidadeMaximaMedia,VelocidadeInstantaneaMedia,UmidadadeMaximaMedia,UmidadeInstantaneaMedia
1.0,30.464516129032262,26.47870967741936,8.270967741935484,1.7040322580645157,86.45161290322581,68.86962365591397
2.0,30.689285714285717,26.38714285714285,7.485714285714286,1.4235119047619043,88.28571428571429,71.18452380952381
3.0,31.103225806451615,26.730967741935483,7.25483870967742,1.4362903225806452,86.87096774193549,70.76881720430109
4.0,31.383333333333326,26.916666666666664,7.056666666666667,1.2520833333333337,88.2,72.2777777777778
5.0,29.603225806451608,25.23354838709677,7.725806451612904,1.1938172043010755,88.45161290322581,77.7755376344086
6.0,28.65,24.728666666666662,8.236666666666666,1.4408333333333334,88.03333333333333,76.41805555555557
7.0,28.209677419354843,24.131612903225797,8.338709677419354,1.44502688172043,88.16129032258064,76.36021505376345
8.0,27.612903225806452,23.760645161290327,7.700000000000001,1.3802419354838709,88.6774193548387,77.02150537634408
9.0,28.436666666666675,24.73399999999999,7.436666666666667,1.5619444444444441,90.2,78.10277777777779
10.0,29.354838709677423,25.525806451612908,8.532258064516126,1.824462365591398,96.87096774193549,78.3763440860215
11.0,30.99333333333333,26.23933333333333,7.776666666666667,1.5334722222222221,93.86666666666666,73.7625
12.0,31.061290322580643,26.54903225806451,4.422580645161291,0.8700268817204302,92.70967741935483,73.18951612903226
