Months,TempMaximaMedia,TempCompensadaMedia,VelocidadeMaximaMedia,VelocidadeInstantaneaMedia,UmidadadeMaximaMedia,UmidadeInstantaneaMedia
1.0,32.68709677419355,28.1541935483871,5.800000000000002,2.4000000000000004,88.29032258064517,70.0766129032258
2.0,32.44827586206896,28.302068965517236,5.800000000000001,2.4,90.6896551724138,74.59051724137932
3.0,32.70645161290323,28.002580645161284,5.800000000000002,2.4000000000000004,91.90322580645162,76.40591397849462
4.0,31.486666666666665,27.050000000000004,5.800000000000001,2.4,92.9,81.43472222222223
5.0,30.538709677419355,26.208387096774196,5.800000000000002,2.4000000000000004,93.12903225806451,83.22311827956987
6.0,29.646666666666672,25.36533333333334,5.800000000000001,2.4,92.56666666666666,82.0763888888889
7.0,28.493548387096777,24.358064516129037,5.800000000000002,2.4000000000000004,92.29032258064517,80.19892473118279
8.0,28.377419354838707,24.39548387096774,5.800000000000002,2.4000000000000004,92.19354838709677,78.24865591397851
9.0,28.96999999999999,25.230666666666657,5.800000000000001,2.4,89.2,74.86666666666669
10.0,30.7,26.584516129032263,5.800000000000002,2.4000000000000004,89.09677419354838,73.08602150537634
11.0,31.436666666666667,27.442,6.409999999999999,2.369166666666666,87.5,71.24305555555556
12.0,31.48709677419355,27.509677419354837,8.35483870967742,1.8857526881720428,86.61290322580645,70.06182795698925
