bairro,latitude-WGS84,longitude-WGS84,total
Santo Antônio,-8.064006,-34.884682,0.0
São José,-8.074624,-34.896318,0.0
Recife Antigo,-8.055544,-34.879076,0.0
Cabanga,-8.079671,-34.899717,0.0
Coelhos,-8.067462,-34.893743,4.0
Ilha do Leite,-8.065473,-34.895832,4.0
Paissandú,-8.063493,-34.901822,4.0
Ilha Joana Bezerra,-8.071492,-34.901772,4.0
Boa Vista,-8.055534,-34.897606,1.0
Soledade,-8.056605,-34.893988,1.0
Santo Amaro,-8.047722,-34.888467,19.0
Dois Unidos,-7.997308,-34.919901,0.0
Beberibe,-8.005714,-34.900559,8.0
Linha do Tiro,-8.008861,-34.909832,3.0
Água Fria (Plana),-8.018517,-34.895668,9.0
Água Fria (Alta),-8.01577,-34.903951,17.0
Porto da Madeira,-8.007391,-34.894082,1.0
Cajueiro,-8.01126,-34.889142,2.0
Campina do Barreto,-8.016864,-34.886829,2.0
Peixinhos,-8.019429,-34.88123,8.0
Arruda,-8.023886,-34.898349,7.0
Encruzilhada,-8.035063,-34.895056,7.0
Ponto de Parada,-8.029623,-34.894524,11.0
Fundão,-8.013825,-34.895008,2.0
Hipódromo,-8.032014,-34.891909,11.0
Rosarinho,-8.032584,-34.901995,11.0
Torreão,-8.040152,-34.886157,7.0
Campo Grande,-8.030498,-34.888865,8.0
Alto Santa Terezinha,-8.014622,-34.906425,3.0
Bomba do Hemetério,-8.021108,-34.90675,9.0
Derby,-8.057182,-34.904615,0.0
Graças,-8.044831,-34.908157,0.0
Espinheiro,-8.044208,-34.895236,0.0
Aflitos,-8.040293,-34.900241,0.0
Jaqueira,-8.037939,-34.910315,2.0
Tamarineira,-8.031236,-34.906219,2.0
Santana,-8.040225,-34.919385,4.0
Parnamirim,-8.033829,-34.915506,2.0
Casa Forte,-8.033714,-34.9232,4.0
Poço da Panela,-8.035386,-34.931454,4.0
Casa Amarela,-8.026029,-34.925645,20.0
Alto José Bonifácio,-8.013111,-34.917736,12.0
Morro da Conceição,-8.020117,-34.918676,4.0
Alto José do Pinho,-8.02225,-34.911902,9.0
Vasco da Gama,-8.01159,-34.927568,13.0
Monteiro,-8.026667,-34.933218,3.0
Apipucos,-8.018179,-34.944282,3.0
Alto do Mandú,-8.022437,-34.932909,20.0
Sítio dos Pintos,-8.013844,-34.9666,4.0
Córrego do Jenipapo,-8.002386,-34.944957,4.0
Dois Irmãos,-8.007833,-34.968402,4.0
Macaxeira,-8.011477,-34.939212,4.0
Nova Descoberta,-8.00742,-34.946552,15.0
Brejo de Beberibe,-7.997984,-34.92916,7.0
Guabiraba,-7.966062,-34.991543,0.0
Brejo de Guabiraba,-7.992662,-34.937281,1.0
Passarinho,-7.978262,-34.93667,6.0
Mangabeira,-8.023803,-34.905036,21.0
Várzea Baixo,-8.023801,-34.937867,1.0
Várzea UR7,-8.03643,-34.97995,10.0
Caxangá,-8.02838,-34.963109,10.0
Iputinga,-8.035914,-34.953145,4.0
Engenho do Meio,-8.056574,-34.951122,6.0
Torrões,-8.060764,-34.945194,21.0
Cordeiro,-8.050895,-34.937302,4.0
Zumbi,-8.052779,-34.922123,5.0
Torre,-8.042977,-34.915041,1.0
Prado,-8.060738,-34.921745,0.0
Madalena,-8.053787,-34.91727,2.0
Ilha do Retiro,-8.064554,-34.909045,2.0
Várzea Brasilit,-8.04469,-34.957115,9.0
Cidade Universitária,-8.053899,-34.9596,9.0
Afogados (Ilha de São Miguel),-8.08076,-34.918351,6.0
Afogados (Marrom Glacê),-8.082422,-34.914152,6.0
Afogados,-8.076355,-34.93036,10.0
Bongi,-8.065141,-34.924039,12.0
San Martin,-8.068715,-34.939639,19.0
Mustardinha,-8.071399,-34.923603,10.0
Mangueira,-8.076425,-34.92491,10.0
Estância,-8.085154,-34.938934,6.0
Jiquiá,-8.085117,-34.934535,11.0
Caçote,-8.100333,-34.935734,14.0
Areias,-8.094722,-34.938865,25.0
Tejipió,-8.090158,-34.964964,11.0
Sancho,-8.084781,-34.966061,2.0
Barro,-8.09861,-34.967189,8.0
Coqueiral,-8.086793,-34.973544,6.0
Curado,-8.071223,-34.977964,16.0
Totó,-8.082753,-34.97059,16.0
Jardim São Paulo,-8.08227,-34.952952,15.0
Brasília Teimosa,-8.084596,-34.888363,7.0
Pina,-8.096611,-34.911629,4.0
Imbiribeira,-8.107386,-34.929638,11.0
Boa Viagem,-8.126937,-34.935744,11.0
Ipsep,-8.109947,-34.930581,0.0
Ibura,-8.118345,-34.949909,7.0
Ibura Vila do Sesi,-8.10957,-34.941598,4.0
Ibura Parque,-8.108786,-34.945188,0.0
Jordão,-8.136478,-34.941443,47.0
Cohab UR5,-8.131022,-34.949872,3.0
Cohab UR4,-8.131016,-34.949872,8.0
Cohab UR10,-8.131016,-34.956439,6.0
Cohab Três Carneiros,-8.126685,-34.956598,1.0
Cohab UR2,-8.122149,-34.956233,16.0
Cohab UR3,-8.116549,-34.95687,19.0
Cohab Monte Verde,-8.115657,-34.961998,0.0
UR1,-8.120135,-34.948241,4.0
