bairro,latitude,longitude,quantidade de casos
AFLITOS,-8.03921,-34.89648,0
AFOGADOS,-8.07733,-34.90647,22
AGUA FRIA,-8.01697,-34.89823,46
ALTO DO MANDU,-8.02252,-34.9281,3
ALTO JOSE BONIFACIO,-8.01299,-34.91279,5
ALTO JOSE DO PINHO,-8.02141,-34.90814,12
ALTO SANTA TEREZINHA,-8.01548,-34.90836,6
APIPUCOS,-8.01902,-34.93813,2
AREIAS,-8.09423,-34.92781,22
ARRUDA,-8.02508,-34.89132,15
BARRO,-8.09533,-34.95008,58
BEBERIBE,-8.00485,-34.89718,5
BOA VIAGEM,-8.12351,-34.90339,64
BOA VISTA,-8.06176,-34.88729,13
BOMBA DO HEMETERIO,-8.02151,-34.90165,13
BONGI,-8.06597,-34.92159,1
BRASILIA TEIMOSA,-8.08278,-34.87895,3
BREJO DA GUABIRABA,-7.99191,-34.93198,17
BREJO DE BEBERIBE,-7.99837,-34.92431,8
CABANGA,-8.07981,-34.89756,0
CACOTE,-8.10106,-34.93269,2
CAJUEIRO,-8.0121,-34.88566,6
CAMPINA DO BARRETO,-8.01653,-34.88203,15
CAMPO GRANDE,-8.03165,-34.87938,132
CASA AMARELA,-8.02466,-34.91772,19
CASA FORTE,-8.03381,-34.91828,10
CAXANGA,-8.03039,-34.94912,14
CIDADE UNIVERSITARIA,-8.05442,-34.95163,6
COELHOS,-8.06698,-34.88854,5
COHAB,-8.12438,-34.95336,986
COQUEIRAL,-8.08786,-34.96823,2
CORDEIRO,-8.05114,-34.92851,24
CORREGO DO JENIPAPO,-8.00644,-34.93592,8
CURADO,-8.06813,-34.96186,8
DERBY,-8.05781,-34.89901,2
DOIS IRMAOS,-8.00438,-34.95283,16
DOIS UNIDOS,-7.99319,-34.91076,47
ENCRUZILHADA,-8.03675,-34.89084,14
ENGENHO DO MEIO,-8.05662,-34.94239,8
ESPINHEIRO,-8.0429,-34.89125,10
ESTANCIA,-8.0864,-34.92908,6
FUNDAO,-8.0149,-34.89039,1
GRACAS,-8.04556,-34.90072,7
GUABIRABA,-7.95329,-34.95374,10
HIPODROMO,-8.03258,-34.88711,0
IBURA,-8.12236,-34.93214,361
ILHA DO LEITE,-8.06571,-34.89418,0
ILHA DO RETIRO,-8.06375,-34.9038,0
ILHA JOANA BEZERRA,-8.06975,-34.8988,7
IMBIRIBEIRA,-8.10284,-34.91086,35
IPSEP,-8.11023,-34.9199,27
IPUTINGA,-8.03983,-34.93734,26
JAQUEIRA,-8.036,-34.9026,2
JARDIM SAO PAULO,-8.0808,-34.94206,48
JIQUIA,-8.0851,-34.92306,2
JORDAO,-8.1332,-34.94005,144
LINHA DO TIRO,-8.00967,-34.90527,19
MACAXEIRA,-8.0119,-34.93115,21
MADALENA,-8.05377,-34.90835,41
MANGABEIRA,-8.0244,-34.90296,8
MANGUEIRA,-8.07673,-34.92049,3
MONTEIRO,-8.02634,-34.92878,4
MORRO DA CONCEICAO,-8.01929,-34.91449,8
MUSTARDINHA,-8.07236,-34.91851,3
NOVA DESCOBERTA,-8.00044,-34.9304,37
PAISSANDU,-8.06284,-34.89875,1
PARNAMIRIM,-8.0339,-34.91038,5
PASSARINHO,-7.98182,-34.92316,18
PAU FERRO,-7.96679,-34.97466,0
PEIXINHOS,-8.01818,-34.8769,1
PINA,-8.09633,-34.89466,14
POCO,-8.03514,-34.92384,2
PONTO DE PARADA,-8.02971,-34.89308,0
PORTO DA MADEIRA,-8.00704,-34.88833,6
PRADO,-8.0599,-34.9139,48
RECIFE,-8.05669,-34.87087,3
ROSARINHO,-8.03225,-34.89784,7
SAN MARTIN,-8.0702,-34.92879,10
SANCHO,-8.08455,-34.9617,7
SANTANA,-8.0392,-34.91598,0
SANTO AMARO,-8.05094,-34.88144,59
SANTO ANTONIO,-8.0647,-34.87796,0
SAO JOSE,-8.07042,-34.88082,15
SITIO DOS PINTOS,-8.01111,-34.95857,4
SOLEDADE,-8.05599,-34.89057,2
TAMARINEIRA,-8.0325,-34.90102,8
TEJIPIO,-8.08694,-34.95511,10
TORRE,-8.04252,-34.90746,10
TORREAO,-8.04031,-34.88391,4
TORROES,-8.06035,-34.93627,10
TOTO,-8.08192,-34.96895,4
VARZEA,-8.04503,-34.96917,86
VASCO DA GAMA,-8.01178,-34.91906,25
ZUMBI,-8.05363,-34.91806,3
