bairro,latitude,longitude,quantidade de casos
AFLITOS,-8.03921,-34.89648,0
AFOGADOS,-8.07733,-34.90647,17
AGUA FRIA,-8.01697,-34.89823,36
ALTO DO MANDU,-8.02252,-34.9281,1
ALTO JOSE BONIFACIO,-8.01299,-34.91279,9
ALTO JOSE DO PINHO,-8.02141,-34.90814,6
ALTO SANTA TEREZINHA,-8.01548,-34.90836,0
APIPUCOS,-8.01902,-34.93813,7
AREIAS,-8.09423,-34.92781,15
ARRUDA,-8.02508,-34.89132,9
BARRO,-8.09533,-34.95008,8
BEBERIBE,-8.00485,-34.89718,4
BOA VIAGEM,-8.12351,-34.90339,36
BOA VISTA,-8.06176,-34.88729,5
BOMBA DO HEMETERIO,-8.02151,-34.90165,5
BONGI,-8.06597,-34.92159,3
BRASILIA TEIMOSA,-8.08278,-34.87895,12
BREJO DA GUABIRABA,-7.99191,-34.93198,7
BREJO DE BEBERIBE,-7.99837,-34.92431,0
CABANGA,-8.07981,-34.89756,0
CACOTE,-8.10106,-34.93269,0
CAJUEIRO,-8.0121,-34.88566,3
CAMPINA DO BARRETO,-8.01653,-34.88203,17
CAMPO GRANDE,-8.03165,-34.87938,24
CASA AMARELA,-8.02466,-34.91772,8
CASA FORTE,-8.03381,-34.91828,0
CAXANGA,-8.03039,-34.94912,14
CIDADE UNIVERSITARIA,-8.05442,-34.95163,1
COELHOS,-8.06698,-34.88854,8
COHAB,-8.12438,-34.95336,35
COQUEIRAL,-8.08786,-34.96823,3
CORDEIRO,-8.05114,-34.92851,16
CORREGO DO JENIPAPO,-8.00644,-34.93592,2
CURADO,-8.06813,-34.96186,2
DERBY,-8.05781,-34.89901,0
DOIS IRMAOS,-8.00438,-34.95283,11
DOIS UNIDOS,-7.99319,-34.91076,21
ENCRUZILHADA,-8.03675,-34.89084,5
ENGENHO DO MEIO,-8.05662,-34.94239,1
ESPINHEIRO,-8.0429,-34.89125,3
ESTANCIA,-8.0864,-34.92908,3
FUNDAO,-8.0149,-34.89039,7
GRACAS,-8.04556,-34.90072,2
GUABIRABA,-7.95329,-34.95374,4
HIPODROMO,-8.03258,-34.88711,0
IBURA,-8.12236,-34.93214,32
ILHA DO LEITE,-8.06571,-34.89418,0
ILHA DO RETIRO,-8.06375,-34.9038,1
ILHA JOANA BEZERRA,-8.06975,-34.8988,6
IMBIRIBEIRA,-8.10284,-34.91086,24
IPSEP,-8.11023,-34.9199,5
IPUTINGA,-8.03983,-34.93734,42
JAQUEIRA,-8.036,-34.9026,0
JARDIM SAO PAULO,-8.0808,-34.94206,19
JIQUIA,-8.0851,-34.92306,0
JORDAO,-8.1332,-34.94005,13
LINHA DO TIRO,-8.00967,-34.90527,9
MACAXEIRA,-8.0119,-34.93115,19
MADALENA,-8.05377,-34.90835,8
MANGABEIRA,-8.0244,-34.90296,3
MANGUEIRA,-8.07673,-34.92049,6
MONTEIRO,-8.02634,-34.92878,0
MORRO DA CONCEICAO,-8.01929,-34.91449,3
MUSTARDINHA,-8.07236,-34.91851,1
NOVA DESCOBERTA,-8.00044,-34.9304,26
PAISSANDU,-8.06284,-34.89875,0
PARNAMIRIM,-8.0339,-34.91038,1
PASSARINHO,-7.98182,-34.92316,9
PAU FERRO,-7.96679,-34.97466,0
PEIXINHOS,-8.01818,-34.8769,1
PINA,-8.09633,-34.89466,11
POCO,-8.03514,-34.92384,0
PONTO DE PARADA,-8.02971,-34.89308,0
PORTO DA MADEIRA,-8.00704,-34.88833,1
PRADO,-8.0599,-34.9139,3
RECIFE,-8.05669,-34.87087,1
ROSARINHO,-8.03225,-34.89784,2
SAN MARTIN,-8.0702,-34.92879,15
SANCHO,-8.08455,-34.9617,1
SANTANA,-8.0392,-34.91598,1
SANTO AMARO,-8.05094,-34.88144,22
SANTO ANTONIO,-8.0647,-34.87796,1
SAO JOSE,-8.07042,-34.88082,2
SITIO DOS PINTOS,-8.01111,-34.95857,8
SOLEDADE,-8.05599,-34.89057,0
TAMARINEIRA,-8.0325,-34.90102,5
TEJIPIO,-8.08694,-34.95511,11
TORRE,-8.04252,-34.90746,10
TORREAO,-8.04031,-34.88391,2
TORROES,-8.06035,-34.93627,11
TOTO,-8.08192,-34.96895,0
VARZEA,-8.04503,-34.96917,70
VASCO DA GAMA,-8.01178,-34.91906,11
ZUMBI,-8.05363,-34.91806,6
