bairro,latitude,longitude,quantidade de casos
AFLITOS,-8.03921,-34.89648,1
AFOGADOS,-8.07733,-34.90647,42
AGUA FRIA,-8.01697,-34.89823,39
ALTO DO MANDU,-8.02252,-34.9281,2
ALTO JOSE BONIFACIO,-8.01299,-34.91279,17
ALTO JOSE DO PINHO,-8.02141,-34.90814,16
ALTO SANTA TEREZINHA,-8.01548,-34.90836,0
APIPUCOS,-8.01902,-34.93813,1
AREIAS,-8.09423,-34.92781,21
ARRUDA,-8.02508,-34.89132,14
BARRO,-8.09533,-34.95008,5
BEBERIBE,-8.00485,-34.89718,12
BOA VIAGEM,-8.12351,-34.90339,19
BOA VISTA,-8.06176,-34.88729,7
BOMBA DO HEMETERIO,-8.02151,-34.90165,7
BONGI,-8.06597,-34.92159,10
BRASILIA TEIMOSA,-8.08278,-34.87895,33
BREJO DA GUABIRABA,-7.99191,-34.93198,5
BREJO DE BEBERIBE,-7.99837,-34.92431,1
CABANGA,-8.07981,-34.89756,4
CACOTE,-8.10106,-34.93269,1
CAJUEIRO,-8.0121,-34.88566,9
CAMPINA DO BARRETO,-8.01653,-34.88203,33
CAMPO GRANDE,-8.03165,-34.87938,46
CASA AMARELA,-8.02466,-34.91772,20
CASA FORTE,-8.03381,-34.91828,0
CAXANGA,-8.03039,-34.94912,2
CIDADE UNIVERSITARIA,-8.05442,-34.95163,2
COELHOS,-8.06698,-34.88854,3
COHAB,-8.12438,-34.95336,22
COQUEIRAL,-8.08786,-34.96823,6
CORDEIRO,-8.05114,-34.92851,17
CORREGO DO JENIPAPO,-8.00644,-34.93592,2
CURADO,-8.06813,-34.96186,1
DERBY,-8.05781,-34.89901,1
DOIS IRMAOS,-8.00438,-34.95283,2
DOIS UNIDOS,-7.99319,-34.91076,17
ENCRUZILHADA,-8.03675,-34.89084,5
ENGENHO DO MEIO,-8.05662,-34.94239,10
ESPINHEIRO,-8.0429,-34.89125,7
ESTANCIA,-8.0864,-34.92908,6
FUNDAO,-8.0149,-34.89039,2
GRACAS,-8.04556,-34.90072,5
GUABIRABA,-7.95329,-34.95374,5
HIPODROMO,-8.03258,-34.88711,2
IBURA,-8.12236,-34.93214,21
ILHA DO LEITE,-8.06571,-34.89418,0
ILHA DO RETIRO,-8.06375,-34.9038,0
ILHA JOANA BEZERRA,-8.06975,-34.8988,13
IMBIRIBEIRA,-8.10284,-34.91086,19
IPSEP,-8.11023,-34.9199,22
IPUTINGA,-8.03983,-34.93734,86
JAQUEIRA,-8.036,-34.9026,0
JARDIM SAO PAULO,-8.0808,-34.94206,24
JIQUIA,-8.0851,-34.92306,11
JORDAO,-8.1332,-34.94005,2
LINHA DO TIRO,-8.00967,-34.90527,9
MACAXEIRA,-8.0119,-34.93115,10
MADALENA,-8.05377,-34.90835,11
MANGABEIRA,-8.0244,-34.90296,6
MANGUEIRA,-8.07673,-34.92049,9
MONTEIRO,-8.02634,-34.92878,0
MORRO DA CONCEICAO,-8.01929,-34.91449,5
MUSTARDINHA,-8.07236,-34.91851,9
NOVA DESCOBERTA,-8.00044,-34.9304,17
PAISSANDU,-8.06284,-34.89875,0
PARNAMIRIM,-8.0339,-34.91038,0
PASSARINHO,-7.98182,-34.92316,10
PAU FERRO,-7.96679,-34.97466,0
PEIXINHOS,-8.01818,-34.8769,3
PINA,-8.09633,-34.89466,10
POCO,-8.03514,-34.92384,2
PONTO DE PARADA,-8.02971,-34.89308,1
PORTO DA MADEIRA,-8.00704,-34.88833,11
PRADO,-8.0599,-34.9139,11
RECIFE,-8.05669,-34.87087,2
ROSARINHO,-8.03225,-34.89784,0
SAN MARTIN,-8.0702,-34.92879,26
SANCHO,-8.08455,-34.9617,6
SANTANA,-8.0392,-34.91598,0
SANTO AMARO,-8.05094,-34.88144,82
SANTO ANTONIO,-8.0647,-34.87796,1
SAO JOSE,-8.07042,-34.88082,7
SITIO DOS PINTOS,-8.01111,-34.95857,1
SOLEDADE,-8.05599,-34.89057,0
TAMARINEIRA,-8.0325,-34.90102,10
TEJIPIO,-8.08694,-34.95511,7
TORRE,-8.04252,-34.90746,10
TORREAO,-8.04031,-34.88391,0
TORROES,-8.06035,-34.93627,35
TOTO,-8.08192,-34.96895,2
VARZEA,-8.04503,-34.96917,25
VASCO DA GAMA,-8.01178,-34.91906,17
ZUMBI,-8.05363,-34.91806,10
