bairro,latitude,longitude,quantidade de casos
AFLITOS,-8.03921,-34.89648,2
AFOGADOS,-8.07733,-34.90647,40
AGUA FRIA,-8.01697,-34.89823,74
ALTO DO MANDU,-8.02252,-34.9281,5
ALTO JOSE BONIFACIO,-8.01299,-34.91279,30
ALTO JOSE DO PINHO,-8.02141,-34.90814,20
ALTO SANTA TEREZINHA,-8.01548,-34.90836,12
APIPUCOS,-8.01902,-34.93813,1
AREIAS,-8.09423,-34.92781,53
ARRUDA,-8.02508,-34.89132,46
BARRO,-8.09533,-34.95008,15
BEBERIBE,-8.00485,-34.89718,11
BOA VIAGEM,-8.12351,-34.90339,80
BOA VISTA,-8.06176,-34.88729,12
BOMBA DO HEMETERIO,-8.02151,-34.90165,10
BONGI,-8.06597,-34.92159,17
BRASILIA TEIMOSA,-8.08278,-34.87895,3
BREJO DA GUABIRABA,-7.99191,-34.93198,8
BREJO DE BEBERIBE,-7.99837,-34.92431,15
CABANGA,-8.07981,-34.89756,1
CACOTE,-8.10106,-34.93269,4
CAJUEIRO,-8.0121,-34.88566,43
CAMPINA DO BARRETO,-8.01653,-34.88203,58
CAMPO GRANDE,-8.03165,-34.87938,138
CASA AMARELA,-8.02466,-34.91772,58
CASA FORTE,-8.03381,-34.91828,4
CAXANGA,-8.03039,-34.94912,9
CIDADE UNIVERSITARIA,-8.05442,-34.95163,2
COELHOS,-8.06698,-34.88854,7
COHAB,-8.12438,-34.95336,60
COQUEIRAL,-8.08786,-34.96823,8
CORDEIRO,-8.05114,-34.92851,69
CORREGO DO JENIPAPO,-8.00644,-34.93592,19
CURADO,-8.06813,-34.96186,8
DERBY,-8.05781,-34.89901,1
DOIS IRMAOS,-8.00438,-34.95283,4
DOIS UNIDOS,-7.99319,-34.91076,36
ENCRUZILHADA,-8.03675,-34.89084,14
ENGENHO DO MEIO,-8.05662,-34.94239,40
ESPINHEIRO,-8.0429,-34.89125,1
ESTANCIA,-8.0864,-34.92908,14
FUNDAO,-8.0149,-34.89039,7
GRACAS,-8.04556,-34.90072,5
GUABIRABA,-7.95329,-34.95374,20
HIPODROMO,-8.03258,-34.88711,1
IBURA,-8.12236,-34.93214,70
ILHA DO LEITE,-8.06571,-34.89418,1
ILHA DO RETIRO,-8.06375,-34.9038,4
ILHA JOANA BEZERRA,-8.06975,-34.8988,17
IMBIRIBEIRA,-8.10284,-34.91086,137
IPSEP,-8.11023,-34.9199,110
IPUTINGA,-8.03983,-34.93734,68
JAQUEIRA,-8.036,-34.9026,0
JARDIM SAO PAULO,-8.0808,-34.94206,70
JIQUIA,-8.0851,-34.92306,9
JORDAO,-8.1332,-34.94005,24
LINHA DO TIRO,-8.00967,-34.90527,19
MACAXEIRA,-8.0119,-34.93115,19
MADALENA,-8.05377,-34.90835,16
MANGABEIRA,-8.0244,-34.90296,13
MANGUEIRA,-8.07673,-34.92049,17
MONTEIRO,-8.02634,-34.92878,4
MORRO DA CONCEICAO,-8.01929,-34.91449,11
MUSTARDINHA,-8.07236,-34.91851,19
NOVA DESCOBERTA,-8.00044,-34.9304,93
PAISSANDU,-8.06284,-34.89875,4
PARNAMIRIM,-8.0339,-34.91038,0
PASSARINHO,-7.98182,-34.92316,29
PAU FERRO,-7.96679,-34.97466,0
PEIXINHOS,-8.01818,-34.8769,8
PINA,-8.09633,-34.89466,36
POCO,-8.03514,-34.92384,1
PONTO DE PARADA,-8.02971,-34.89308,0
PORTO DA MADEIRA,-8.00704,-34.88833,9
PRADO,-8.0599,-34.9139,8
RECIFE,-8.05669,-34.87087,5
ROSARINHO,-8.03225,-34.89784,3
SAN MARTIN,-8.0702,-34.92879,43
SANCHO,-8.08455,-34.9617,3
SANTANA,-8.0392,-34.91598,0
SANTO AMARO,-8.05094,-34.88144,107
SANTO ANTONIO,-8.0647,-34.87796,0
SAO JOSE,-8.07042,-34.88082,11
SITIO DOS PINTOS,-8.01111,-34.95857,0
SOLEDADE,-8.05599,-34.89057,1
TAMARINEIRA,-8.0325,-34.90102,4
TEJIPIO,-8.08694,-34.95511,17
TORRE,-8.04252,-34.90746,13
TORREAO,-8.04031,-34.88391,2
TORROES,-8.06035,-34.93627,125
TOTO,-8.08192,-34.96895,3
VARZEA,-8.04503,-34.96917,45
VASCO DA GAMA,-8.01178,-34.91906,55
ZUMBI,-8.05363,-34.91806,2
