bairro,latitude,longitude,quantidade de casos
AFLITOS,-8.03921,-34.89648,18
AFOGADOS,-8.07733,-34.90647,276
AGUA FRIA,-8.01697,-34.89823,383
ALTO DO MANDU,-8.02252,-34.9281,20
ALTO JOSE BONIFACIO,-8.01299,-34.91279,33
ALTO JOSE DO PINHO,-8.02141,-34.90814,73
ALTO SANTA TEREZINHA,-8.01548,-34.90836,28
APIPUCOS,-8.01902,-34.93813,22
AREIAS,-8.09423,-34.92781,399
ARRUDA,-8.02508,-34.89132,208
BARRO,-8.09533,-34.95008,131
BEBERIBE,-8.00485,-34.89718,115
BOA VIAGEM,-8.12351,-34.90339,416
BOA VISTA,-8.06176,-34.88729,84
BOMBA DO HEMETERIO,-8.02151,-34.90165,63
BONGI,-8.06597,-34.92159,35
BRASILIA TEIMOSA,-8.08278,-34.87895,246
BREJO DA GUABIRABA,-7.99191,-34.93198,55
BREJO DE BEBERIBE,-7.99837,-34.92431,32
CABANGA,-8.07981,-34.89756,4
CACOTE,-8.10106,-34.93269,54
CAJUEIRO,-8.0121,-34.88566,102
CAMPINA DO BARRETO,-8.01653,-34.88203,240
CAMPO GRANDE,-8.03165,-34.87938,377
CASA AMARELA,-8.02466,-34.91772,159
CASA FORTE,-8.03381,-34.91828,58
CAXANGA,-8.03039,-34.94912,43
CIDADE UNIVERSITARIA,-8.05442,-34.95163,13
COELHOS,-8.06698,-34.88854,115
COHAB,-8.12438,-34.95336,703
COQUEIRAL,-8.08786,-34.96823,41
CORDEIRO,-8.05114,-34.92851,198
CORREGO DO JENIPAPO,-8.00644,-34.93592,103
CURADO,-8.06813,-34.96186,25
DERBY,-8.05781,-34.89901,18
DOIS IRMAOS,-8.00438,-34.95283,101
DOIS UNIDOS,-7.99319,-34.91076,253
ENCRUZILHADA,-8.03675,-34.89084,80
ENGENHO DO MEIO,-8.05662,-34.94239,97
ESPINHEIRO,-8.0429,-34.89125,31
ESTANCIA,-8.0864,-34.92908,156
FUNDAO,-8.0149,-34.89039,99
GRACAS,-8.04556,-34.90072,46
GUABIRABA,-7.95329,-34.95374,111
HIPODROMO,-8.03258,-34.88711,20
IBURA,-8.12236,-34.93214,557
ILHA DO LEITE,-8.06571,-34.89418,10
ILHA DO RETIRO,-8.06375,-34.9038,43
ILHA JOANA BEZERRA,-8.06975,-34.8988,133
IMBIRIBEIRA,-8.10284,-34.91086,380
IPSEP,-8.11023,-34.9199,179
IPUTINGA,-8.03983,-34.93734,489
JAQUEIRA,-8.036,-34.9026,6
JARDIM SAO PAULO,-8.0808,-34.94206,193
JIQUIA,-8.0851,-34.92306,84
JORDAO,-8.1332,-34.94005,166
LINHA DO TIRO,-8.00967,-34.90527,116
MACAXEIRA,-8.0119,-34.93115,137
MADALENA,-8.05377,-34.90835,189
MANGABEIRA,-8.0244,-34.90296,59
MANGUEIRA,-8.07673,-34.92049,59
MONTEIRO,-8.02634,-34.92878,17
MORRO DA CONCEICAO,-8.01929,-34.91449,33
MUSTARDINHA,-8.07236,-34.91851,81
NOVA DESCOBERTA,-8.00044,-34.9304,228
PAISSANDU,-8.06284,-34.89875,5
PARNAMIRIM,-8.0339,-34.91038,16
PASSARINHO,-7.98182,-34.92316,107
PAU FERRO,-7.96679,-34.97466,0
PEIXINHOS,-8.01818,-34.8769,48
PINA,-8.09633,-34.89466,167
POCO,-8.03514,-34.92384,22
PONTO DE PARADA,-8.02971,-34.89308,37
PORTO DA MADEIRA,-8.00704,-34.88833,55
PRADO,-8.0599,-34.9139,72
RECIFE,-8.05669,-34.87087,46
ROSARINHO,-8.03225,-34.89784,42
SAN MARTIN,-8.0702,-34.92879,103
SANCHO,-8.08455,-34.9617,26
SANTANA,-8.0392,-34.91598,16
SANTO AMARO,-8.05094,-34.88144,233
SANTO ANTONIO,-8.0647,-34.87796,3
SAO JOSE,-8.07042,-34.88082,51
SITIO DOS PINTOS,-8.01111,-34.95857,21
SOLEDADE,-8.05599,-34.89057,8
TAMARINEIRA,-8.0325,-34.90102,96
TEJIPIO,-8.08694,-34.95511,39
TORRE,-8.04252,-34.90746,100
TORREAO,-8.04031,-34.88391,10
TORROES,-8.06035,-34.93627,123
TOTO,-8.08192,-34.96895,28
VARZEA,-8.04503,-34.96917,443
VASCO DA GAMA,-8.01178,-34.91906,175
ZUMBI,-8.05363,-34.91806,52
